ref,Title,Publication date,Authors,Publisher EN,Publisher FR,Publisher SP,Country EN,Country FR,Country SP,Language of the document,File Name
351,The Impact of Improved Grades and Standards on the Export Potential of Targeted Commodities in Malawi,2001,D.C Toomey; P.A Sterns; C. Jumbe,Michigan State University; United States Agency for International Development (USAID),Michigan State University; United States Agency for International Development (USAID),Michigan State University; United States Agency for International Development (USAID),Malawi,Malawi,Malawi,EN,The Impact of Improved Grades and Standards on the Export Potential of Targeted Commodities in Malawi.pdf
352,The Interplay of Public and Private Standards - Literature Review Series on the Impacts of Private Standards; Part III,2011,International Trade Centre (ITC),International Trade Centre (ITC),International Trade Centre (ITC),International Trade Centre (ITC),,,,EN,ITC_InterplayPublicAndPrivateStandards.pdf
353,The macroeconomic impacts of a foot-and-mouth disease outbreak: an information paper for Department of the Prime Minister and Cabinet,2003,Aron Gereben; Ian Woolford; Melleny Black,Reserve Bank of New Zealand,Reserve Bank of New Zealand,Reserve Bank of New Zealand,New Zealand,Nouvelle-Zélande,Nueva Zelandia,EN,The macroeconomic impacts of a foot-and-mouth disease outbreak.pdf
354,The Peanut Collaborative Research Support Program (CRSP) - 2005 External Evaluation Report,2005,D. Gapasin; J. Cherry; J. Gilbert et. al,United States Agency for International Development (USAID),United States Agency for International Development (USAID),United States Agency for International Development (USAID),,,,EN,The Peanut Collaborative Research Support Program (CRSP) - 2005 External Evaluation Report.pdf
355,The Potential Economic Impacts of the Red Imported Fire Ant in New Zealand,2001,Ministry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,New Zealand,Nouvelle-Zélande,Nueva Zelandia,EN,The Potential Economic Impacts of the Red Imported Fire Ant in New Zealand.doc
356,The role of Standards under Kenya's Export Strategy,2005,The World Bank,The World Bank,La Banque mondiale,El Banco Mundial ,Kenya,Kenya,Kenya,EN,WB_KenyaStandards_Mar-05.pdf
357,The role of the World Organisation for Animal Health (OIE) in the development of international standards for laboratory animal welfare,2007,Sarah Kahn,World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,,,,EN,The role of the World Organisation for Animal Health (OIE).pdf
358,The Trade Standards Practitioners Network (TSPN) 2005 - 2010,2010,Johann F. Moltmann,Trade Standards Practitioners Network (TSPN),Trade Standards Practitioners Network (TSPN),Trade Standards Practitioners Network (TSPN),,,,EN,The Trade Standards Practitioners Network (TSPN) 2005 - 2010.pdf
359,The Treatment of Agriculture in Regional Trade Agreemens (RTAs) in the Americas,2009,"Matthew Shearer; Juliana Salles Almeida; Carlos M. Gutierrez, Jr.",Inter-American Development Bank (IDB),Banque interaméricaine de développement (BID),Banco Interamericano de Desarrollo (BID),,,,EN,The Treatment of Agriculture in Regional Trade Agreemens (RTAs) in the Americas.pdf
360,The WTO Sanitary and Phytosanitary (SPS) Agreement: What you need to know...,,"Australian Department of Agriculture, Fisheries and Forestry","Australian Department of Agriculture, Fisheries and Forestry","Australian Department of Agriculture, Fisheries and Forestry","Australian Department of Agriculture, Fisheries and Forestry",,,,EN,The WTO Sanitary and Phytosanitary (SPS) Agreement What you need to know.pdf
361,Threat and responses to Bactrocera invadens in Southern and East African countries exporting to South Africa,2010,Dermot Cassidy,United States Department of Agriculture (USDA),United States Department of Agriculture (USDA),United States Department of Agriculture (USDA),,,,EN,Threat and responses to Bactrocera invadens in Southern and East African countries exporting to South Africa.docx
362,Tracking results in agriculture and rural development in less-than-ideal conditions,2008,Food and Agriculture Organization of the United Nations (FAO); The World Bank,Food and Agriculture Organization of the United Nations (FAO); The World Bank,Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO); La Banque mundial,Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO); El Banco Mundial,,,,EN,Tracking results in agriculture and rural development in less-than-ideal conditions.pdf
363,Tracking the Implementation of Internationally Agreed Standards in Food and Agricultural Production,2010,Donna Roberts; Tim Josling,International Food and Agricultural Trade Policy Council (IPC),International Food and Agricultural Trade Policy Council (IPC),International Food and Agricultural Trade Policy Council (IPC),,,,EN,Tracking the Implementation of Internationally Agreed Standards in Food and Agricultural Production.pdf
364,Trade Capacity Building and Sanitary and Phytosanitary Control: A Resource Guide,2003,Victoria Waite; Digby Gascoine,Nathan Associates Inc.,Nathan Associates Inc.,Nathan Associates Inc.,,,,EN,Trade Capacity Building and SPS Control.pdf
365,Trade Capacity Building Results Monitoring/Assessment Framework: DAC's Approach and Suggested Programme of Work,2004,Organisation for Economic Co-operation and Development (OECD),Organisation for Economic Co-operation and Development (OECD),Organisation de Coopération et de Développement �conomiques (OCDE),Organización para la Cooperación y el Desarrollo Económico (OCDE),,,,EN,Trade Capacity Building Results Monitoring - Assessment Framework - DAC's Approach and Suggested Programme of Work.pdf
366,"Trade Facilitation beyond the Multilateral Trade Negotiations -Regional Practices, Customs valuation and Other Emerging Issues",2008,United Nations Economic and Social Commission for Asia and the Pacific (UNESCAP),United Nations Development Programme (UNDP),Programme des Nations Unies pour le développement (UNDP),Programas de las Naciones Unidas para el Desarrollo (UNDP),,,,EN,Trade Facilitation beyond the Multilateral Trade Negotiations.pdf
367,Trade Facilitation Handbook Part I - National Facilitation Bodies: Lessons from Experience,2006,United Nations Conference on Trade and Development (UNCTAD),United Nations Conference on Trade and Development (UNCTAD),Conférence des Nations Unies sur le commerce et le développement (UNCTAD),Conferencia de las Naciones Unidas sobre Comercio y Desarrollo (UNCTAD),,,,EN,TRADE FACILITATION HANDBOOK PART I National Facilitation Bodies - Lessons from Experience.pdf
368,Trade Facilitation Handbook Part II - Technical Notes on Essential Trade Facilitation Measures,2006,United Nations Conference on Trade and Development (UNCTAD),United Nations Conference on Trade and Development (UNCTAD),Conférence des Nations Unies sur le commerce et le développement (UNCTAD),Conferencia de las Naciones Unidas sobre Comercio y Desarrollo (UNCTAD),,,,EN,Trade Facilitation Handbook Part II - Technical Notes on Essential Trade Facilitation Measures.pdf
369,Trading Up: How a Value Chain Approach Can Benefit the Rural Poor,2009,Jonathan Mitchell; Jodie Keane; Christopher Coles,Overseas Development Institute (ODI),Overseas Development Institute (ODI),Overseas Development Institute (ODI),,,,EN,Trading Up - How a Value Chain Approach Can Benefit the Rural Poor.pdf
370,Transboundary animal and plant pests and diseases - World Summit on Food Security,2009,Food and Agriculture Organization of the United Nations (FAO),Food and Agriculture Organization of the United Nations (FAO),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),,,,EN,Transboundary animal and plant pests and diseases - World Summit on Food Security.pdf
371,UEMOA SPS Initiative,2005,West Africa Trade Hub (WATH),United States Agency for International Development (USAID),United States Agency for International Development (USAID),United States Agency for International Development (USAID),,,,EN,UEMOA SPS Initiative.pdf
372,"Uganda, Standards and Trade: Experience, Capacities, and Priorities",2006,The World Bank,The World Bank,La Banque mondiale,El Banco Mundial ,Uganda,Ouganda,Uganda,EN,WB_UgandaSPS_Jan-06.pdf
373,Una plaga bajo control (Video del BID),2010,Banco Interamericano de Desarrollo (BID - TV),Inter-American Development Bank (IDB),Banque interaméricaine de développement (BID),Banco Interamericano de Desarrollo (BID),Peru,Pérou,Perú,SP,Una plaga bajo control (BID Video).aspx
374,UNIDO's Trade Capacity Building Programme,2011,Ali Badarneh,United Nations Industrial Development Organization (UNIDO),Organisation des Nations Unies pour le développement industriel (ONUDI),Organización de las Naciones Unidas para el Desarrollo Industrial (ONUDI),,,,EN,UNIDO's Trade Capacity Building Programme.pdf
375,Uniting Climate and Disease Research to Improve Health in Poor Regions,2009,International Livestock Research Institute (ILRI),International Livestock Research Institute (ILRI),International Livestock Research Institute (ILRI),International Livestock Research Institute (ILRI),,,,EN,Uniting Climate and Disease.aspx
376,Use of economics in pest and disease management,2009,Douglas Birnie,Ministry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,New Zealand,Nouvelle-Zélande,Nueva Zelandia,EN,Use of economics in pest and disease management.pdf
377,Using qualitative market mapping to explore Aflatoxin contamination along the Maize and Groundnut Value Chains,2010,J. Hellin; J. Ndjeunga; P.C Trench,International Food Policy Research Institute (IFPRI),International Food Policy Research Institute (IFPRI),International Food Policy Research Institute (IFPRI),,,,EN,Using qualitative market mapping to explore Aflatoxin contamination along the Maize and Groundnut Value Chains.pdf
378,Varroa in New Zealand: Economic Impact Assessment,2002,Minstry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,New Zealand,Nouvelle-Zélande,Nueva Zelandia,EN,Varroa in New Zealand - Economic Impact Assessment.pdf
379,Vietnam - Food Safety and Agricultural Health Action Plan,2006,The World Bank,The World Bank,La Banque mondiale,El Banco Mundial ,Viet Nam,Viet Nam,Viet Nam,EN,WB_VietnamFoodSafetyReport_Feb-06.pdf
380,Vietnam's Fisheries Exports to the EC: Public-Private Collaboration to Address Non-Tariff Measures,2009,Paolo Vergano,International Trade Centre (ITC),International Trade Centre (ITC),International Trade Centre (ITC),Viet Nam,Viet Nam,Viet Nam,EN,Vietnam's Fisheries Exports to the EC Public - Private Collaboration to Address Non-Tariff Measures.pdf
381,What do Border Rejections tell us about Trade Standards Compliance of Developing Countries? Analysis of EU and US Data 2002-2008,2011,"Spencer Henson, Edward Olale",United Nations Industrial Development Organization (UNIDO),Organisation des Nations Unies pour le développement industriel (ONUDI),Organización de las Naciones Unidas para el Desarrollo Industrial (ONUDI),,,,EN,UNIDO_WorkingPaper_BorderRejectionAnalysis.pdf
382,WHO global strategy for food safety - Safer food for better health,2002,World Health Organisation (WHO),World Health Organization (WHO),Organisation mondiale de la Santé (OMS),Organización Mundial de la Salud (OMS),,,,EN,WHO global strategy for food safety - safer food for better health.pdf
383,WHO Initiative to Estimate the Global Burden of Foodborne Diseases - A Summary Document,,World Health Organization (WHO),World Health Organization (WHO),Organisation mondiale de la Santé (OMS),Organización Mundial de la Salud (OMS),,,,EN,WHO Initiative to Estimate the Global Burden of Foodborne Diseases - Summary Document.pdf
384,"WHO Initiative to Estimate the Global Burden of Foodborne Diseases - First formal meeting of the Foodborne Disease Burden Epidemiology Reference Group (FERG) - Implementing Strategy, Setting Priorities and Assigning the Tasks",2007,World Health Organization (WHO),World Health Organization (WHO),Organisation mondiale de la Santé (OMS),Organización Mundial de la Salud (OMS),,,,EN,WHO Initiative to Estimate the Global Burden of Foodborne Diseases - First formal meeting of FERG.pdf
385,WHO Initiative to Estimate the Global Burden of Foodborne Diseases - Second formal meeting of the Foodborne Disease Burden Epidemiology Reference Group (FERG) - Appraising the Evidence and Reviewing Initial Results,2008,World Health Organization (WHO),World Health Organization (WHO),Organisation mondiale de la Santé (OMS),Organización Mundial de la Salud (OMS),,,,EN,WHO Initiative to Estimate the Global Burden of Foodborne Diseases - Second formal meeting of FERG.pdf
386,"Why agriculture needs technology to help meet a growing demand for safe, nutritious and affordable food",2009,Jeff Simmons,Elanco Animal Health,Elanco Animal Health,Elanco Animal Health,,,,EN,"Why agriculture needs technology to help meet a growing demand for safe, nutritious and affordable food.pdf"
387,WTP Estimates Of The Societal Costs Of U.S. Food-Borne Illness,2007,Tanya Roberts,American Journal of Agricultural Economics,American Journal of Agricultural Economics,American Journal of Agricultural Economics,United States,Etats-Unis,Estados Unidos,EN,WTP Estimates Of The Societal Costs Of U.S. Food-Borne Illness.pdf
388,"Zambia and the Multilateral Trading System - The Impact of WTO Agreements, Negotiations and Implementation",2006,United Nations Conference on Trade and Development (UNCTAD),United Nations Conference on Trade and Development (UNCTAD),Conférence des Nations Unies sur le commerce et le développement (UNCTAD),Conferencia de las Naciones Unidas sobre Comercio y Desarrollo (UNCTAD),Zambia,Zambie,Zambia,EN,"Zambia and the Multilateral Trading System - The Impact of WTO Agreements, Negotiations and Implementation.pdf"
389,Zambia Strategic Review - Feed the Future,2011,United States Agency for International Development (USAID),United States Agency for International Development (USAID),United States Agency for International Development (USAID),United States Agency for International Development (USAID),Zambia,Zambie,Zambia,EN,Strategic Review. Feed the Future.pdf
390,Zambia: SPS Management - Recommendations of a Joint World Bank/USAID Assessment Team,2006,The World Bank,The World Bank,The World Bank,The World Bank,Zambia,Zambie,Zambia,EN,WB_ZambiaSPSManagement_Jul-06.pdf
