Ref,Title (EN),Publication date,Authors,Publisher (EN),Keywords (EN),Country:CountryNameEN,Country:CountryNameES,Country:CountryNameFR,Language of the document,FileName,Publisher (FR),Publisher (SP),Title (FR),Title (SP),Type of the document (EN),Type of the document (FR),Type of the document (SP)
56,AU-IBAR SPS-related activities,2011,Simplice Nouala,African Union,Animal Health,,,,EN,AU-IBAR SPS-related activities.pdf,African Union,African Union,AU-IBAR SPS-related activities,AU-IBAR SPS-related activities,Powerpoint Presentation,Powerpoint Presentation,Powerpoint Presentation
57,Avocado Pests and Avocado Trade,2007,Everett B. Peterson and David Orden,American Journal of Agricultural Economics,Plant Health,United States,Estados Unidos,Etats-Unis,EN,Avocado Pests and Avocado Trade.pdf,American Journal of Agricultural Economics,American Journal of Agricultural Economics,Avocado Pests and Avocado Trade,Avocado Pests and Avocado Trade,Other,Autres,Otro
58,"Barrier, Catalyst, or Distraction? Standards, Competitiveness, and Africa's Groundnut Exports to Europe",2008,Luz Diaz Rios; Steven Jaffee,The World Bank,SPS-General,,,,EN,"Barrier, Catalyst, or Distraction - Standards, Competitiveness, and Africa's Groundnut Exports to Europe.pdf",The World Bank,The World Bank,"Barrier, Catalyst, or Distraction? Standards, Competitiveness, and Africa's Groundnut Exports to Europe","Barrier, Catalyst, or Distraction? Standards, Competitiveness, and Africa's Groundnut Exports to Europe",Other,Autres,Otro
59,"Barrier, Catalyst, or Distraction? Standards, Competitiveness, and Africa's Groundnut Exports to Europe",2008,Luz B. Diaz Rios; Steven Jaffee,The World Bank,SPS-General,,,,EN,"Barrier, Catalyst, or Distraction.pdf",The World Bank,The World Bank,"Barrier, Catalyst, or Distraction? Standards, Competitiveness, and Africa's Groundnut Exports to Europe","Barrier, Catalyst, or Distraction? Standards, Competitiveness, and Africa's Groundnut Exports to Europe",Report,Rapport,Reporte
60,Barriers to ASEAN meat exports - economic impacts of disease outbreaks and policy responses,2007,Sally Thorpe; Suthida Warr and Neil Andrews,Australian Bureau of Agricultural and Resource Economics (ABARE),SPS-General,,,,EN,Barriers to ASEAN meat exports - economic impacts of disease outbreaks and policy responses.pdf,Australian Bureau of Agricultural and Resource Economics (ABARE),Australian Bureau of Agricultural and Resource Economics (ABARE),Barriers to ASEAN meat exports - economic impacts of disease outbreaks and policy responses,Barriers to ASEAN meat exports - economic impacts of disease outbreaks and policy responses,Paper,Papier,Papel
61,Best Practices in Sanitary and Phytosanitary Training,2011,Food Chain Evaluation Consortium (FCEC),European Union,SPS-General,,,,EN,Best training practices in Sanitary and Phytosanitary Training.pdf,Union européenne,Unión Europea,Best Practices in Sanitary and Phytosanitary Training,Best Practices in Sanitary and Phytosanitary Training,Paper,Papier,Papel
62,Better Training for Safer Food - Annual Report 2006,2006,Europan Commission,European Union,SPS-General,,,,EN,Better Training for Safer Food - Annual Report 2006.pdf,Union européenne,Unión Europea,Better Training for Safer Food - Annual Report 2006,Better Training for Safer Food - Annual Report 2006,,,
63,Better Training for Safer Food - Annual Report 2007,2007,European Commission,European Union,SPS-General,,,,EN,Better Training for Safer Food - Annual Report 2007.pdf,Union européenne,Unión Europea,Better Training for Safer Food - Annual Report 2007,Better Training for Safer Food - Annual Report 2007,,,
64,Better Training for Safer Food - Annual Report 2008,2008,Eropean Commission,European Union,SPS-General,,,,EN,Better Training for Safer Food - Annual Report 2008.pdf,Union européenne,Unión Europea,Better Training for Safer Food - Annual Report 2008,Better Training for Safer Food - Annual Report 2008,,,
65,Better Training for Safer Food - Annual Report 2009,2009,European Commission,European Union,SPS-General,,,,EN,Better Training for Safer Food - Annual Report 2009.pdf,Union européenne,Unión Europea,Better Training for Safer Food - Annual Report 2009,Better Training for Safer Food - Annual Report 2009,,,
66,Better Training for Safer Food - Annual Report 2010,2010,European Commission,European Union,SPS-General,,,,EN,Better Training for Safer Food - Annual Report 2010.pdf,Union européenne,Unión Europea,Better Training for Safer Food - Annual Report 2010,Better Training for Safer Food - Annual Report 2010,,,
67,Building Competitiveness in Africa's Agriculture: A Guide to Value Chain Concepts and Applications,2010,C. Martin Webber; Patrick Labaste,The World Bank,SPS-General,,,,EN,Building Competitiveness in Africa's Agriculture - A guide to value chain concepts and applications.pdf,The World Bank,The World Bank,Building Competitiveness in Africa's Agriculture: A Guide to Value Chain Concepts and Applications,Building Competitiveness in Africa's Agriculture: A Guide to Value Chain Concepts and Applications,Other,Autres,Otro
68,OIE Bulletin No. 2011-2 - Rinderpest Eradication,2011,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Animal Health,,,,EN,Bulletin No. 2 – Rinderpest Eradication (2011).pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),OIE Bulletin No. 2011-2 - Rinderpest Eradication,OIE Bulletin No. 2011-2 - Rinderpest Eradication,Newsletter,Newsletter,Newsletter
69,OIE Bulletin No. 2011-3 - Rabies a priority for humans and animals,2011,World Organisation for Animal Health  (OIE),World Organisation for Animal Health (OIE),Animal Health,,,,EN,Bulletin No. 3 – Rabies a priority for humans and animals (2011).pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),OIE Bulletin No. 2011-3 - Rabies a priority for humans and animals,OIE Bulletin No. 2011-3 - Rabies a priority for humans and animals,Other,Autres,Otro
70,Canadian communities’ guidebook for adaptation to climate change,2008,Livia Bizikova;Tina Neale;Ian Burton,Environment Canada,SPS-General,Canada,Canadá,Canada,EN,Canadian communities’ guidebook for adaptation to climate change.pdf,Environment Canada,Environment Canada,Canadian communities’ guidebook for adaptation to climate change,Canadian communities’ guidebook for adaptation to climate change,Report,Rapport,Reporte
71,Capacity building for aflatoxin management and control in groundnuts in Malawi,2008,United Nations Industrial Development Organization (UNIDO),United Nations Industrial Development Organization (UNIDO),Food Safety,Malawi,Malawi,Malawi,EN,Capacity building for aflatoxin management and control in groundnuts in Malawi.pdf,United Nations Industrial Development Organization (UNIDO),United Nations Industrial Development Organization (UNIDO),Capacity building for aflatoxin management and control in groundnuts in Malawi,Capacity building for aflatoxin management and control in groundnuts in Malawi,Report,Rapport,Reporte
72,Capacity building in Food Quality and Safety - Evaluating the improvement of national food control systems in the developing world,2007,Hilbert van der Werf,Wageningen University,Food Safety,,,,EN,Capacity building in Food Quality and Safety.pdf,Wageningen University,Wageningen University,Capacity building in Food Quality and Safety - Evaluating the improvement of national food control systems in the developing world,Capacity building in Food Quality and Safety - Evaluating the improvement of national food control systems in the developing world,Paper,Papier,Papel
73,Capacity-Building to Meet International Standards as Public Goods,2006,"P. Holmes, L. Iacovone, R. Kamondetdacha; L. Newson",United Nations Industrial Development Organization (UNIDO),SPS-General,,,,EN,Capacity-Building to Meet International Standards as Public Goods.pdf,United Nations Industrial Development Organization (UNIDO),United Nations Industrial Development Organization (UNIDO),Capacity-Building to Meet International Standards as Public Goods,Capacity-Building to Meet International Standards as Public Goods,Paper,Papier,Papel
74,Capacity-building Tools and Activities of the OIE,2009,Sarah Kahn,World Organisation for Animal Health (OIE),Animal Health,,,,EN,Capacity-building Tools and Activities of the OIE.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Capacity-building Tools and Activities of the OIE,Capacity-building Tools and Activities of the OIE,Powerpoint Presentation,Powerpoint Presentation,Powerpoint Presentation
75,"Case Studies of Costs and Benefits of Non-Tariff Measures - Cheese, Shrimp and Flowers",2010,"Frank van Tongeren, Anne-Célia Disdier, Joanna Komorowska, Stéphane Marette and Martin von Lampe",Organisation for Economic Co-operation and Development (OECD),SPS-General,,,,EN,"Case Studies of Costs and Benefits of Non-Tariff Measures - Cheese, Shrimp and Flowers.pdf",Organisation de Coopération et de Développement Économiques (OCDE),Organización para la Cooperación y el Desarrollo Económico (OCDE),"Case Studies of Costs and Benefits of Non-Tariff Measures - Cheese, Shrimp and Flowers","Case Studies of Costs and Benefits of Non-Tariff Measures - Cheese, Shrimp and Flowers",Paper,Papier,Papel
76,"Case Studies of Costs and Benefits of Non-Tariff Measures: Cheese, Shrimp and Flowers",2010,Stéphan Marette; Anne-Célia Disdier; Joanna Komorowska;  Frank van Tongeren; Martin von Lampe,Organisation for Economic Co-operation and Development (OECD),SPS-General,,,,EN,"Case Studies of Costs and Benefits of Non-Tariff Measures Cheese, Shrimp and Flowers.pdf",Organisation de Coopération et de Développement Économiques (OCDE),Organización para la Cooperación y el Desarrollo Económico (OCDE),"Case Studies of Costs and Benefits of Non-Tariff Measures: Cheese, Shrimp and Flowers","Case Studies of Costs and Benefits of Non-Tariff Measures: Cheese, Shrimp and Flowers",Paper,Papier,Papel
77,Case Study: SPS Issues and Regional Trade in Livestock and Livestock Products in the SADC Region,2010,Dermot Cassidy,United States Agency for International Development (USAID),SPS-General,,,,EN,Case Study - SPS Issues and Regional Trade in Livestock and Livestock Products in the SADC Region.pdf,United States Agency for International Development (USAID),United States Agency for International Development (USAID),Case Study: SPS Issues and Regional Trade in Livestock and Livestock Products in the SADC Region,Case Study: SPS Issues and Regional Trade in Livestock and Livestock Products in the SADC Region,Report,Rapport,Reporte
78,Case Study: PS Issues and Regional Trade in Horticultural Products in the SADC Region,2010,Dermot Cassidy,United States Agency for International Development (USAID),SPS-General,,,,EN,Case Study - SPS Issues in Horticultural Products in the SADC Region.pdf,United States Agency for International Development (USAID),United States Agency for International Development (USAID),Case Study: PS Issues and Regional Trade in Horticultural Products in the SADC Region,Case Study: PS Issues and Regional Trade in Horticultural Products in the SADC Region,Report,Rapport,Reporte
79,Changing European Public and Private Food Safety and Quality Requirements - Challenges for Developing Country Fresh Produce and Fish Exporters,2005,"Sabine Willems, Eva Roth; Jan van Roekel",The World Bank,Food Safety,,,,EN,Changing European Public and Private Food Safety and Quality Requirements.pdf,The World Bank,The World Bank,Changing European Public and Private Food Safety and Quality Requirements - Challenges for Developing Country Fresh Produce and Fish Exporters,Changing European Public and Private Food Safety and Quality Requirements - Challenges for Developing Country Fresh Produce and Fish Exporters,Report,Rapport,Reporte
80,Climate change: Implications for food safety,2008,Lee-Ann Jaykus; Marion Woolridge; J. Michael Frank; Marina Miraglia; Abigail McQuatters-Gollop; Cristina Tirado; Renata Clarke; Mary Friel,Food and Agriculture Organization (FAO),Food Safety,,,,EN,Climate change - Implications for food safety.pdf,Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),Climate change: Implications for food safety,Climate change: Implications for food safety,Report,Rapport,Reporte
81,Climate Change and Africa,2007,Africa Partnership Forum and NEPAD Secretariat,Africa Partnership Forum (APF),SPS-General,,,,EN,Climate Change and Africa.pdf,Forum pour le partenariat avec l’Afrique (FPA),Africa Partnership Forum (APF),Climate Change and Africa,Climate Change and Africa,Report,Rapport,Reporte
82,Climate Change and Agriculture - A Review of Impact and Adaptations,2003,Pradeep Kurukulasuriya; Shane Rosenthal,The World Bank,SPS-General,,,,EN,Climate Change and Agriculture.pdf,The World Bank,The World Bank,Climate Change and Agriculture - A Review of Impact and Adaptations,Climate Change and Agriculture - A Review of Impact and Adaptations,Report,Rapport,Reporte
83,Climate change and health - Report by the Secretariat,2008,World Health Organization (WHO),World Health Organization (WHO),Food Safety,,,,EN,Climate change and health.pdf,World Health Organization (WHO),World Health Organization (WHO),Climate change and health - Report by the Secretariat,Climate change and health - Report by the Secretariat,Report,Rapport,Reporte
